"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","439","testLoginWithEmptyFields","","","passed","","","CourierLoginTest","CourierLoginTest",""
"","236","testCreateOrderWithColors[Только BLACK]","","","passed","","","CreateOrderTest","CreateOrderTest",""
"","438","testLoginWithoutLogin","","","passed","","","CourierLoginTest","CourierLoginTest",""
"","432","testLoginWithWrongLogin","","","passed","","","CourierLoginTest","CourierLoginTest",""
"","754","testOrdersListWithCourierId","","","passed","","","OrdersListTest","OrdersListTest",""
"","12170","testOrdersListReturnsList","","","passed","","","OrdersListTest","OrdersListTest",""
"","185","testDeleteCourierWithoutId","","","passed","","","CourierDeleteTest","CourierDeleteTest",""
"","16224","testOrdersListWithLimitAndPage","","","passed","","","OrdersListTest","OrdersListTest",""
"","184","testCreateOrderWithColors[Без цвета (пустой список)]","","","passed","","","CreateOrderTest","CreateOrderTest",""
"","395","testLoginWithoutPassword","","","passed","","","CourierLoginTest","CourierLoginTest",""
"","197","testCreateOrderWithColors[Без цвета (null)]","","","passed","","","CreateOrderTest","CreateOrderTest",""
"","918","testOrdersListWithCourierIdAndStation","","","passed","","","OrdersListTest","OrdersListTest",""
"","3523","testDeleteCourierSuccess","","","passed","","","CourierDeleteTest","CourierDeleteTest",""
"","466","testSuccessfulLoginReturnsId","","","passed","","","CourierLoginTest","CourierLoginTest",""
"","173","testCreateOrderWithColors[Оба цвета]","","","passed","","","CreateOrderTest","CreateOrderTest",""
"","348","testOrdersListWithLimitPageAndStation","","","passed","","","OrdersListTest","OrdersListTest",""
"","1341","testDeletedCourierCannotLogin","","","passed","","","CourierDeleteTest","CourierDeleteTest",""
"","200","testDeleteNonexistentCourier","","","passed","","","CourierDeleteTest","CourierDeleteTest",""
"","388","testLoginNonexistentUser","","","passed","","","CourierLoginTest","CourierLoginTest",""
"","385","testLoginWithWrongPassword","","","passed","","","CourierLoginTest","CourierLoginTest",""
"","296","testCreateOrderWithColors[Только GREY]","","","passed","","","CreateOrderTest","CreateOrderTest",""
"","348","testCourierCanLogin","","","passed","","","CourierLoginTest","CourierLoginTest",""
"","912","testOrdersListWithStationOnly","","","passed","","","OrdersListTest","OrdersListTest",""
